db,s1,s2,s3,vm,HomeTeam_name,AwayTeam_name,db_HomeWin,s1_HomeWin,s2_HomeWin,s3_HomeWin,vm_HomeWin,HomeTeam_win,HomeTeam_rate_AAA_and_S,AwayTeam_rate_AAA_and_S,HomeTeam_rate_S,AwayTeam_rate_S
12,23,03,32,00,岡山リベッツ,木下マイスター東京,0,0,0,1,0,0,0.7,0.45454545454545453,0.1,0.45454545454545453
21,03,03,13,00,岡山リベッツ,T.T彩たま,1,0,0,0,0,0,0.7,0.8181818181818182,0.1,0.45454545454545453
12,30,30,32,00,木下マイスター東京,岡山リベッツ,0,1,1,1,0,1,0.45454545454545453,0.7,0.45454545454545453,0.1
20,30,23,32,00,日本ペイントマレッツ,九州アスティーダ,1,1,0,1,0,1,0.8333333333333334,0.4,0.25,0.2
02,30,31,23,10,木下アビエル神奈川,トップおとめピンポンズ名古屋,0,1,1,0,1,1,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.25
21,30,23,30,00,木下マイスター東京,琉球アスティーダ,1,1,0,1,0,1,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.4166666666666667
21,31,23,23,10,日本ペイントマレッツ,日本生命レッドエルフ,1,1,0,0,1,1,0.8333333333333334,0.4166666666666667,0.25,0.3333333333333333
02,30,13,23,00,木下アビエル神奈川,九州アスティーダ,0,1,0,0,0,0,0.16666666666666666,0.4,0.16666666666666666,0.2
02,30,23,13,00,琉球アスティーダ,岡山リベッツ,0,1,0,0,0,0,0.4166666666666667,0.7,0.4166666666666667,0.1
20,13,31,03,10,トップおとめピンポンズ名古屋,木下アビエル神奈川,1,0,1,0,1,1,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666
21,31,13,31,00,琉球アスティーダ,T.T彩たま,1,1,0,1,0,1,0.4166666666666667,0.8181818181818182,0.4166666666666667,0.45454545454545453
02,13,03,31,00,トップおとめピンポンズ名古屋,日本生命レッドエルフ,0,0,0,1,0,0,0.4166666666666667,0.4166666666666667,0.25,0.3333333333333333
02,13,31,23,00,九州アスティーダ,日本ペイントマレッツ,0,0,1,0,0,0,0.4,0.8333333333333334,0.2,0.25
12,03,32,32,01,琉球アスティーダ,木下マイスター東京,0,0,1,1,0,0,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.45454545454545453
20,13,31,30,00,九州アスティーダ,木下アビエル神奈川,1,0,1,1,0,1,0.4,0.16666666666666666,0.2,0.16666666666666666
20,31,13,30,00,九州アスティーダ,トップおとめピンポンズ名古屋,1,1,0,1,0,1,0.4,0.4166666666666667,0.2,0.25
12,30,13,03,00,琉球アスティーダ,岡山リベッツ,0,1,0,0,0,0,0.4166666666666667,0.7,0.4166666666666667,0.1
21,23,23,03,00,九州アスティーダ,トップおとめピンポンズ名古屋,1,0,0,0,0,0,0.4,0.4166666666666667,0.2,0.25
12,31,03,30,10,木下マイスター東京,T.T彩たま,0,1,0,1,1,1,0.45454545454545453,0.8181818181818182,0.45454545454545453,0.45454545454545453
20,32,30,13,00,琉球アスティーダ,岡山リベッツ,1,1,1,0,0,1,0.4166666666666667,0.7,0.4166666666666667,0.1
02,03,23,32,00,木下アビエル神奈川,日本ペイントマレッツ,0,0,0,1,0,0,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.25
12,03,23,13,00,木下アビエル神奈川,日本ペイントマレッツ,0,0,0,0,0,0,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.25
20,30,03,30,00,木下マイスター東京,T.T彩たま,1,1,0,1,0,1,0.45454545454545453,0.8181818181818182,0.45454545454545453,0.45454545454545453
12,31,03,32,01,岡山リベッツ,木下マイスター東京,0,1,0,1,0,0,0.7,0.45454545454545453,0.1,0.45454545454545453
12,13,23,30,00,九州アスティーダ,トップおとめピンポンズ名古屋,0,0,0,1,0,0,0.4,0.4166666666666667,0.2,0.25
12,13,23,03,00,琉球アスティーダ,T.T彩たま,0,0,0,0,0,0,0.4166666666666667,0.8181818181818182,0.4166666666666667,0.45454545454545453
02,30,13,30,10,日本生命レッドエルフ,木下アビエル神奈川,0,1,0,1,1,1,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.16666666666666666
12,23,03,23,00,琉球アスティーダ,木下マイスター東京,0,0,0,0,0,0,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.45454545454545453
12,30,03,32,10,岡山リベッツ,琉球アスティーダ,0,1,0,1,1,1,0.7,0.4166666666666667,0.1,0.4166666666666667
02,31,13,31,10,岡山リベッツ,琉球アスティーダ,0,1,0,1,1,1,0.7,0.4166666666666667,0.1,0.4166666666666667
20,32,13,30,00,九州アスティーダ,日本ペイントマレッツ,1,1,0,1,0,1,0.4,0.8333333333333334,0.2,0.25
12,30,30,23,10,トップおとめピンポンズ名古屋,日本生命レッドエルフ,0,1,1,0,1,1,0.4166666666666667,0.4166666666666667,0.25,0.3333333333333333
20,31,13,23,10,T.T彩たま,木下マイスター東京,1,1,0,0,1,1,0.8181818181818182,0.45454545454545453,0.45454545454545453,0.45454545454545453
02,30,32,23,01,木下アビエル神奈川,九州アスティーダ,0,1,1,0,0,0,0.16666666666666666,0.4,0.16666666666666666,0.2
12,13,31,31,10,T.T彩たま,岡山リベッツ,0,0,1,1,1,1,0.8181818181818182,0.7,0.45454545454545453,0.1
20,31,30,30,00,日本生命レッドエルフ,トップおとめピンポンズ名古屋,1,1,1,1,0,1,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25
21,31,30,23,00,日本生命レッドエルフ,九州アスティーダ,1,1,1,0,0,1,0.4166666666666667,0.4,0.3333333333333333,0.2
21,32,32,13,00,日本ペイントマレッツ,九州アスティーダ,1,1,1,0,0,1,0.8333333333333334,0.4,0.25,0.2
02,23,31,32,10,岡山リベッツ,T.T彩たま,0,0,1,1,1,1,0.7,0.8181818181818182,0.1,0.45454545454545453
20,30,31,23,00,日本ペイントマレッツ,トップおとめピンポンズ名古屋,1,1,1,0,0,1,0.8333333333333334,0.4166666666666667,0.25,0.25
20,30,32,30,00,岡山リベッツ,木下マイスター東京,1,1,1,1,0,1,0.7,0.45454545454545453,0.1,0.45454545454545453
12,13,13,30,00,日本生命レッドエルフ,日本ペイントマレッツ,0,0,0,1,0,0,0.4166666666666667,0.8333333333333334,0.3333333333333333,0.25
21,23,32,31,00,琉球アスティーダ,T.T彩たま,1,0,1,1,0,1,0.4166666666666667,0.8181818181818182,0.4166666666666667,0.45454545454545453
02,32,13,31,10,トップおとめピンポンズ名古屋,九州アスティーダ,0,1,0,1,1,1,0.4166666666666667,0.4,0.25,0.2
20,30,13,30,00,日本生命レッドエルフ,木下アビエル神奈川,1,1,0,1,0,1,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.16666666666666666
20,13,03,32,01,九州アスティーダ,日本生命レッドエルフ,1,0,0,1,0,0,0.4,0.4166666666666667,0.2,0.3333333333333333
02,31,03,03,00,トップおとめピンポンズ名古屋,日本ペイントマレッツ,0,1,0,0,0,0,0.4166666666666667,0.8333333333333334,0.25,0.25
12,31,30,03,01,トップおとめピンポンズ名古屋,木下アビエル神奈川,0,1,1,0,0,0,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666
20,30,23,32,00,琉球アスティーダ,木下マイスター東京,1,1,0,1,0,1,0.4166666666666667,0.45454545454545453,0.4166666666666667,0.45454545454545453
21,13,32,03,10,琉球アスティーダ,岡山リベッツ,1,0,1,0,1,1,0.4166666666666667,0.7,0.4166666666666667,0.1
12,31,03,13,00,T.T彩たま,琉球アスティーダ,0,1,0,0,0,0,0.8181818181818182,0.4166666666666667,0.45454545454545453,0.4166666666666667
20,23,30,30,00,T.T彩たま,木下マイスター東京,1,0,1,1,0,1,0.8181818181818182,0.45454545454545453,0.45454545454545453,0.45454545454545453
20,31,32,13,00,木下マイスター東京,岡山リベッツ,1,1,1,0,0,1,0.45454545454545453,0.7,0.45454545454545453,0.1
21,23,30,32,00,T.T彩たま,琉球アスティーダ,1,0,1,1,0,1,0.8181818181818182,0.4166666666666667,0.45454545454545453,0.4166666666666667
02,32,03,32,01,トップおとめピンポンズ名古屋,九州アスティーダ,0,1,0,1,0,0,0.4166666666666667,0.4,0.25,0.2
02,03,31,32,01,木下アビエル神奈川,日本生命レッドエルフ,0,0,1,1,0,0,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.3333333333333333
20,13,32,13,01,木下マイスター東京,T.T彩たま,1,0,1,0,0,0,0.45454545454545453,0.8181818181818182,0.45454545454545453,0.45454545454545453
20,03,23,13,00,トップおとめピンポンズ名古屋,日本ペイントマレッツ,1,0,0,0,0,0,0.4166666666666667,0.8333333333333334,0.25,0.25
12,30,23,13,00,木下アビエル神奈川,日本生命レッドエルフ,0,1,0,0,0,0,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.3333333333333333
12,13,03,31,00,トップおとめピンポンズ名古屋,日本生命レッドエルフ,0,0,0,1,0,0,0.4166666666666667,0.4166666666666667,0.25,0.3333333333333333
21,03,03,03,00,日本ペイントマレッツ,木下アビエル神奈川,1,0,0,0,0,0,0.8333333333333334,0.16666666666666666,0.25,0.16666666666666666
02,23,30,31,10,木下マイスター東京,T.T彩たま,0,0,1,1,1,1,0.45454545454545453,0.8181818181818182,0.45454545454545453,0.45454545454545453
20,03,30,30,00,岡山リベッツ,琉球アスティーダ,1,0,1,1,0,1,0.7,0.4166666666666667,0.1,0.4166666666666667
21,13,31,03,01,九州アスティーダ,日本生命レッドエルフ,1,0,1,0,0,0,0.4,0.4166666666666667,0.2,0.3333333333333333
21,31,32,30,00,日本ペイントマレッツ,トップおとめピンポンズ名古屋,1,1,1,1,0,1,0.8333333333333334,0.4166666666666667,0.25,0.25
20,13,23,23,00,日本ペイントマレッツ,日本生命レッドエルフ,1,0,0,0,0,0,0.8333333333333334,0.4166666666666667,0.25,0.3333333333333333
20,03,13,31,10,九州アスティーダ,木下アビエル神奈川,1,0,0,1,1,1,0.4,0.16666666666666666,0.2,0.16666666666666666
02,13,23,31,00,T.T彩たま,琉球アスティーダ,0,0,0,1,0,0,0.8181818181818182,0.4166666666666667,0.45454545454545453,0.4166666666666667
12,30,03,13,00,岡山リベッツ,T.T彩たま,0,1,0,0,0,0,0.7,0.8181818181818182,0.1,0.45454545454545453
12,32,23,30,01,日本ペイントマレッツ,木下アビエル神奈川,0,1,0,1,0,0,0.8333333333333334,0.16666666666666666,0.25,0.16666666666666666
02,30,30,32,00,木下マイスター東京,岡山リベッツ,0,1,1,1,0,1,0.45454545454545453,0.7,0.45454545454545453,0.1
21,30,30,31,00,日本生命レッドエルフ,九州アスティーダ,1,1,1,1,0,1,0.4166666666666667,0.4,0.3333333333333333,0.2
02,30,03,03,00,T.T彩たま,琉球アスティーダ,0,1,0,0,0,0,0.8181818181818182,0.4166666666666667,0.45454545454545453,0.4166666666666667
20,30,32,31,00,木下アビエル神奈川,トップおとめピンポンズ名古屋,1,1,1,1,0,1,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.25
02,32,13,13,00,木下マイスター東京,琉球アスティーダ,0,1,0,0,0,0,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.4166666666666667
12,30,30,30,00,日本生命レッドエルフ,日本ペイントマレッツ,0,1,1,1,0,1,0.4166666666666667,0.8333333333333334,0.3333333333333333,0.25
21,31,30,23,00,T.T彩たま,岡山リベッツ,1,1,1,0,0,1,0.8181818181818182,0.7,0.45454545454545453,0.1
02,23,31,31,01,木下アビエル神奈川,九州アスティーダ,0,0,1,1,0,0,0.16666666666666666,0.4,0.16666666666666666,0.2
12,30,31,30,00,日本ペイントマレッツ,九州アスティーダ,0,1,1,1,0,1,0.8333333333333334,0.4,0.25,0.2
20,30,03,32,00,木下マイスター東京,T.T彩たま,1,1,0,1,0,1,0.45454545454545453,0.8181818181818182,0.45454545454545453,0.45454545454545453
21,30,31,00,00,日本生命レッドエルフ,日本ペイントマレッツ,1,1,1,0,0,1,0.4166666666666667,0.8333333333333334,0.3333333333333333,0.25
